state,event_year,total_crashes,total_injuries
District of Columbia,2001,1,1
Florida,2001,113,110
Georgia,2001,49,59
Gulf of Mexico,2001,0,0
Hawaii,2001,12,8
Idaho,2001,24,11
Illinois,2001,50,42
Indiana,2001,28,27
Iowa,2001,7,8
Kansas,2001,13,11
Kentucky,2001,14,12
Louisiana,2001,27,14
Maine,2001,14,8
Maryland,2001,17,12
Massachusetts,2001,23,28
Michigan,2001,58,44
Minnesota,2001,39,33
Mississippi,2001,23,17
Missouri,2001,32,31
Montana,2001,18,10
Nebraska,2001,19,7
Nevada,2001,37,23
New Hampshire,2001,10,6
New Jersey,2001,14,15
New Mexico,2001,31,33
New York,2001,40,302
North Carolina,2001,39,42
North Dakota,2001,13,3
Ohio,2001,32,16
Oklahoma,2001,24,14
Oregon,2001,47,24
Other Foreign,2001,0,0
Pacific Ocean,2001,0,0
Pennsylvania,2001,34,72
Puerto Rico,2001,8,7
Rhode Island,2001,3,4
South Carolina,2001,13,8
South Dakota,2001,10,6
Tennessee,2001,24,23
Texas,2001,132,117
Utah,2001,28,34
Vermont,2001,4,5
Virginia,2001,41,94
Washington,2001,66,45
West Virginia,2001,15,12
Wisconsin,2001,42,41
Wyoming,2001,17,6
Alabama,2002,27,15
Alaska,2002,139,52
Arizona,2002,76,70
Arkansas,2002,37,42
Atlantic Ocean,2002,0,0
California,2002,175,159
Caribbean Sea,2002,0,0
Colorado,2002,72,60
Connecticut,2002,11,9
Delaware,2002,1,2
District of Columbia,2002,1,1
Florida,2002,132,104
Georgia,2002,49,45
Gulf of Mexico,2002,0,0
Hawaii,2002,3,7
Idaho,2002,47,35
Illinois,2002,42,22
Indiana,2002,24,23
Iowa,2002,14,8
Kansas,2002,19,8
Kentucky,2002,14,19
Louisiana,2002,26,20
Maine,2002,10,9
Maryland,2002,12,14
Massachusetts,2002,22,9
Michigan,2002,42,28
Minnesota,2002,46,32
Mississippi,2002,16,10
Missouri,2002,30,39
Montana,2002,25,16
Nebraska,2002,13,5
Nevada,2002,34,32
New Hampshire,2002,3,9
New Jersey,2002,37,27
New Mexico,2002,32,18
New York,2002,32,67
North Carolina,2002,37,55
North Dakota,2002,7,3
Ohio,2002,39,26
Oklahoma,2002,26,27
Oregon,2002,39,21
Other Foreign,2002,0,0
Pacific Ocean,2002,1,7
Pennsylvania,2002,35,28
Puerto Rico,2002,7,16
Rhode Island,2002,5,5
South Carolina,2002,21,20
South Dakota,2002,8,7
Tennessee,2002,23,23
Texas,2002,118,78
Utah,2002,39,33
Vermont,2002,5,4
Virginia,2002,37,28
Washington,2002,66,42
West Virginia,2002,7,7
Wisconsin,2002,36,20
Wyoming,2002,16,10
Alabama,2003,30,25
Alaska,2003,120,60
Arizona,2003,93,82
Arkansas,2003,37,65
Atlantic Ocean,2003,0,0
California,2003,182,173
Caribbean Sea,2003,0,0
Colorado,2003,65,59
Connecticut,2003,8,5
Delaware,2003,3,6
District of Columbia,2003,0,0
Florida,2003,136,157
Georgia,2003,51,51
Gulf of Mexico,2003,0,0
Hawaii,2003,14,13
Idaho,2003,52,38
Illinois,2003,54,27
Indiana,2003,20,10
Iowa,2003,20,21
Kansas,2003,19,16
Kentucky,2003,21,27
Louisiana,2003,21,29
Maine,2003,10,10
Maryland,2003,12,10
Massachusetts,2003,22,26
Michigan,2003,50,39
Minnesota,2003,40,42
Mississippi,2003,19,14
Missouri,2003,30,17
Montana,2003,23,13
Nebraska,2003,12,6
Nevada,2003,29,37
New Hampshire,2003,4,0
New Jersey,2003,19,14
New Mexico,2003,36,35
New York,2003,46,61
North Carolina,2003,38,66
North Dakota,2003,10,1
Ohio,2003,46,43
Oklahoma,2003,22,17
Oregon,2003,48,33
Other Foreign,2003,0,0
Pacific Ocean,2003,1,1
Pennsylvania,2003,29,22
Puerto Rico,2003,4,8
Rhode Island,2003,7,10
South Carolina,2003,22,23
South Dakota,2003,16,6
Tennessee,2003,35,40
Texas,2003,125,120
Utah,2003,40,42
Vermont,2003,2,2
Virginia,2003,31,14
Washington,2003,74,37
West Virginia,2003,11,16
Wisconsin,2003,32,23
Wyoming,2003,19,10
Alabama,2004,27,21
Alaska,2004,107,56
Arizona,2004,72,47
Arkansas,2004,31,22
Atlantic Ocean,2004,1,0
California,2004,171,104
Caribbean Sea,2004,0,0
Colorado,2004,73,43
Connecticut,2004,13,8
Delaware,2004,0,0
District of Columbia,2004,1,0
Florida,2004,121,104
Georgia,2004,45,42
Gulf of Mexico,2004,0,0
Hawaii,2004,15,16
Idaho,2004,40,23
Illinois,2004,30,14
Indiana,2004,26,18
Iowa,2004,13,13
Kansas,2004,25,21
Kentucky,2004,20,19
Louisiana,2004,26,19
Maine,2004,12,4
Maryland,2004,11,3
Massachusetts,2004,27,19
Michigan,2004,39,27
Minnesota,2004,32,24
Mississippi,2004,18,14
Missouri,2004,32,53
Montana,2004,29,28
Nebraska,2004,11,6
Nevada,2004,29,20
New Hampshire,2004,8,6
New Jersey,2004,21,18
New Mexico,2004,29,24
New York,2004,32,28
North Carolina,2004,27,32
North Dakota,2004,8,3
Ohio,2004,34,28
Oklahoma,2004,23,25
Oregon,2004,40,37
Other Foreign,2004,0,0
Pacific Ocean,2004,0,0
Pennsylvania,2004,37,18
Puerto Rico,2004,6,24
Rhode Island,2004,3,2
South Carolina,2004,20,30
South Dakota,2004,10,5
Tennessee,2004,27,25
Texas,2004,137,114
Utah,2004,34,26
Vermont,2004,4,2
Virginia,2004,22,22
Washington,2004,75,57
West Virginia,2004,12,12
Wisconsin,2004,37,30
Wyoming,2004,16,16
Alabama,2005,22,16
Alaska,2005,129,52
Arizona,2005,82,58
Arkansas,2005,37,29
Atlantic Ocean,2005,1,3
California,2005,191,159
Caribbean Sea,2005,0,0
Colorado,2005,74,60
Connecticut,2005,9,8
Delaware,2005,5,11
District of Columbia,2005,1,1
Florida,2005,149,130
Georgia,2005,32,23
Gulf of Mexico,2005,0,0
Hawaii,2005,16,13
Idaho,2005,38,24
Illinois,2005,32,43
Indiana,2005,20,20
Iowa,2005,13,17
Kansas,2005,18,16
Kentucky,2005,14,12
Louisiana,2005,32,30
Maine,2005,9,6
Maryland,2005,11,8
Massachusetts,2005,18,12
Michigan,2005,43,26
Minnesota,2005,31,21
Mississippi,2005,19,19
Missouri,2005,31,24
Montana,2005,21,13
Nebraska,2005,15,11
Nevada,2005,25,20
New Hampshire,2005,12,11
New Jersey,2005,44,44
New Mexico,2005,21,9
New York,2005,43,49
North Carolina,2005,41,28
North Dakota,2005,12,5
Ohio,2005,37,30
Oklahoma,2005,26,19
Oregon,2005,54,39
Other Foreign,2005,0,0
Pacific Ocean,2005,0,0
Pennsylvania,2005,33,33
Puerto Rico,2005,6,9
Rhode Island,2005,1,0
South Carolina,2005,22,26
South Dakota,2005,9,5
Tennessee,2005,22,21
Texas,2005,129,97
Utah,2005,25,21
Vermont,2005,5,3
Virginia,2005,15,11
Washington,2005,59,31
West Virginia,2005,7,5
Wisconsin,2005,38,22
Wyoming,2005,17,15
Alabama,2006,19,14
Alaska,2006,96,69
Arizona,2006,69,50
Arkansas,2006,16,16
Atlantic Ocean,2006,0,0
California,2006,174,150
Caribbean Sea,2006,0,0
Colorado,2006,54,37
Connecticut,2006,7,11
Delaware,2006,2,4
District of Columbia,2006,1,4
Florida,2006,107,73
Georgia,2006,41,43
Gulf of Mexico,2006,0,0
Hawaii,2006,13,19
Idaho,2006,30,11
Illinois,2006,35,20
Indiana,2006,28,24
Iowa,2006,8,8
Kansas,2006,19,11
Kentucky,2006,15,69
Louisiana,2006,10,9
Maine,2006,13,10
Maryland,2006,18,12
Massachusetts,2006,13,3
Michigan,2006,47,28
Minnesota,2006,29,12
Mississippi,2006,10,9
Missouri,2006,26,22
Montana,2006,33,11
Nebraska,2006,17,18
Nevada,2006,26,20
New Hampshire,2006,5,2
New Jersey,2006,32,16
New Mexico,2006,25,18
New York,2006,22,23
North Carolina,2006,38,28
North Dakota,2006,14,3
Ohio,2006,23,14
Oklahoma,2006,16,23
Oregon,2006,38,30
Other Foreign,2006,0,0
Pacific Ocean,2006,1,0
Pennsylvania,2006,36,38
Puerto Rico,2006,5,2
Rhode Island,2006,3,3
South Carolina,2006,15,19
South Dakota,2006,5,8
Tennessee,2006,17,13
Texas,2006,58,32
Utah,2006,32,24
Vermont,2006,4,4
Virginia,2006,32,28
Washington,2006,49,27
West Virginia,2006,7,6
Wisconsin,2006,21,22
Wyoming,2006,13,4
Alabama,2007,28,21
Alaska,2007,81,42
Arizona,2007,60,29
Arkansas,2007,15,14
Atlantic Ocean,2007,0,0
California,2007,177,119
Caribbean Sea,2007,0,0
Colorado,2007,63,26
Connecticut,2007,7,2
Delaware,2007,4,5
District of Columbia,2007,1,0
Florida,2007,134,110
Georgia,2007,49,34
Gulf of Mexico,2007,0,0
Hawaii,2007,9,23
Idaho,2007,38,17
Illinois,2007,40,20
Indiana,2007,17,13
Iowa,2007,15,15
Kansas,2007,24,13
Kentucky,2007,11,13
Louisiana,2007,14,11
Maine,2007,8,9
Maryland,2007,12,16
Massachusetts,2007,17,16
Michigan,2007,31,19
Minnesota,2007,21,14
Mississippi,2007,16,8
Missouri,2007,26,26
Montana,2007,23,20
Nebraska,2007,8,3
Nevada,2007,36,25
New Hampshire,2007,8,2
New Jersey,2007,22,11
New Mexico,2007,36,36
New York,2007,40,27
North Carolina,2007,34,26
North Dakota,2007,10,2
Ohio,2007,29,19
Oklahoma,2007,27,25
Oregon,2007,41,31
Other Foreign,2007,0,0
Pacific Ocean,2007,0,0
Pennsylvania,2007,34,34
Puerto Rico,2007,6,8
Rhode Island,2007,4,0
South Carolina,2007,14,11
South Dakota,2007,8,4
Tennessee,2007,22,25
Texas,2007,97,62
Utah,2007,43,35
Vermont,2007,7,2
Virginia,2007,36,27
Washington,2007,47,46
West Virginia,2007,6,7
Wisconsin,2007,22,18
Wyoming,2007,13,13
Alabama,2008,28,23
Alaska,2008,108,157
Arizona,2008,73,57
Arkansas,2008,22,13
Atlantic Ocean,2008,0,0
California,2008,158,149
Caribbean Sea,2008,0,0
Colorado,2008,60,85
Connecticut,2008,9,4
Delaware,2008,2,0
District of Columbia,2008,1,0
Florida,2008,133,122
Georgia,2008,49,26
Gulf of Mexico,2008,0,0
Hawaii,2008,11,13
Idaho,2008,34,21
Illinois,2008,50,17
Indiana,2008,22,7
Iowa,2008,18,12
Kansas,2008,27,13
Kentucky,2008,16,15
Louisiana,2008,13,7
Maine,2008,13,15
Maryland,2008,20,11
Massachusetts,2008,12,5
Michigan,2008,32,14
Minnesota,2008,31,19
Mississippi,2008,16,4
Missouri,2008,31,23
Montana,2008,20,11
Nebraska,2008,13,4
Nevada,2008,25,24
New Hampshire,2008,6,7
New Jersey,2008,28,18
New Mexico,2008,31,30
New York,2008,30,17
North Carolina,2008,34,30
North Dakota,2008,7,5
Ohio,2008,43,32
Oklahoma,2008,25,21
Oregon,2008,40,29
Other Foreign,2008,0,0
Pacific Ocean,2008,0,0
Pennsylvania,2008,33,24
Puerto Rico,2008,4,8
Rhode Island,2008,8,11
South Carolina,2008,20,20
South Dakota,2008,9,4
Tennessee,2008,24,19
Texas,2008,125,79
Utah,2008,42,42
Vermont,2008,1,1
Virginia,2008,30,20
Washington,2008,58,43
West Virginia,2008,3,3
Wisconsin,2008,40,42
Wyoming,2008,18,10
Alabama,2009,13,13
Alaska,2009,101,37
Arizona,2009,74,44
Arkansas,2009,21,10
Atlantic Ocean,2009,0,0
California,2009,187,144
Caribbean Sea,2009,0,0
Colorado,2009,51,30
Connecticut,2009,2,1
Delaware,2009,3,0
District of Columbia,2009,0,0
Florida,2009,104,87
Georgia,2009,46,33
Gulf of Mexico,2009,1,0
Hawaii,2009,10,8
Idaho,2009,37,26
Illinois,2009,31,19
Indiana,2009,30,19
Iowa,2009,17,14
Kansas,2009,19,11
Kentucky,2009,14,9
Louisiana,2009,21,31
Maine,2009,14,8
Maryland,2009,13,20
Massachusetts,2009,14,6
Michigan,2009,35,23
Minnesota,2009,29,15
Mississippi,2009,19,13
Missouri,2009,23,12
Montana,2009,16,20
Nebraska,2009,15,10
Nevada,2009,28,23
New Hampshire,2009,4,3
New Jersey,2009,25,27
New Mexico,2009,27,17
New York,2009,32,67
North Carolina,2009,38,36
North Dakota,2009,10,4
Ohio,2009,32,20
Oklahoma,2009,23,30
Oregon,2009,31,25
Other Foreign,2009,0,0
Pacific Ocean,2009,1,0
Pennsylvania,2009,30,17
Puerto Rico,2009,6,13
Rhode Island,2009,1,0
South Carolina,2009,29,24
South Dakota,2009,8,8
Tennessee,2009,21,29
Texas,2009,119,96
Utah,2009,37,27
Vermont,2009,4,3
Virginia,2009,34,29
Washington,2009,58,26
West Virginia,2009,11,17
Wisconsin,2009,23,15
Wyoming,2009,4,4
Alabama,2010,8,7
Alaska,2010,91,89
Arizona,2010,63,55
Arkansas,2010,32,31
Atlantic Ocean,2010,0,0
California,2010,157,124
Caribbean Sea,2010,0,0
Colorado,2010,47,36
Connecticut,2010,4,1
Delaware,2010,1,2
District of Columbia,2010,0,0
Florida,2010,102,55
Georgia,2010,47,34
Gulf of Mexico,2010,0,0
Hawaii,2010,6,4
Idaho,2010,37,18
Illinois,2010,42,30
Indiana,2010,27,14
Iowa,2010,27,21
Kansas,2010,18,12
Kentucky,2010,20,18
Louisiana,2010,16,13
Maine,2010,10,9
Maryland,2010,21,6
Massachusetts,2010,24,20
Michigan,2010,30,23
Minnesota,2010,32,19
Mississippi,2010,8,8
Missouri,2010,23,14
Montana,2010,14,9
Nebraska,2010,13,8
Nevada,2010,24,16
New Hampshire,2010,4,1
New Jersey,2010,14,18
New Mexico,2010,27,19
New York,2010,49,47
North Carolina,2010,30,21
North Dakota,2010,8,3
Ohio,2010,37,25
Oklahoma,2010,23,29
Oregon,2010,40,20
Other Foreign,2010,0,0
Pacific Ocean,2010,1,2
Pennsylvania,2010,19,13
Puerto Rico,2010,9,10
Rhode Island,2010,1,0
South Carolina,2010,19,15
South Dakota,2010,8,6
Tennessee,2010,25,15
Texas,2010,127,87
Utah,2010,35,18
Vermont,2010,4,4
Virginia,2010,26,14
Washington,2010,51,35
West Virginia,2010,10,18
Wisconsin,2010,26,24
Wyoming,2010,9,9
Alabama,2011,17,18
Alaska,2011,104,54
Arizona,2011,66,42
Arkansas,2011,22,17
Atlantic Ocean,2011,1,2
California,2011,141,117
Caribbean Sea,2011,0,0
Colorado,2011,54,35
Connecticut,2011,11,6
Delaware,2011,1,0
District of Columbia,2011,0,0
Florida,2011,110,77
Georgia,2011,43,32
Gulf of Mexico,2011,1,3
Hawaii,2011,7,16
Idaho,2011,34,28
Illinois,2011,48,29
Indiana,2011,26,19
Iowa,2011,23,11
Kansas,2011,15,15
Kentucky,2011,9,8
Louisiana,2011,28,15
Maine,2011,16,21
Maryland,2011,23,14
Massachusetts,2011,18,11
Michigan,2011,34,30
Minnesota,2011,28,13
Mississippi,2011,16,11
Missouri,2011,32,19
Montana,2011,21,15
Nebraska,2011,7,4
Nevada,2011,22,91
New Hampshire,2011,5,1
New Jersey,2011,19,15
New Mexico,2011,23,14
New York,2011,36,34
North Carolina,2011,37,38
North Dakota,2011,13,4
Ohio,2011,43,40
Oklahoma,2011,19,11
Oregon,2011,31,20
Other Foreign,2011,0,0
Pacific Ocean,2011,1,5
Pennsylvania,2011,27,23
Puerto Rico,2011,3,5
Rhode Island,2011,1,0
South Carolina,2011,21,11
South Dakota,2011,13,14
Tennessee,2011,23,10
Texas,2011,122,106
Utah,2011,31,34
Vermont,2011,1,2
Virginia,2011,30,18
Washington,2011,58,35
West Virginia,2011,9,9
Wisconsin,2011,31,23
Wyoming,2011,26,25
Alabama,2012,25,15
Alaska,2012,112,43
Arizona,2012,61,53
Arkansas,2012,23,14
Atlantic Ocean,2012,4,3
California,2012,134,80
Caribbean Sea,2012,0,0
Colorado,2012,57,44
Connecticut,2012,6,5
Delaware,2012,2,0
District of Columbia,2012,0,0
Florida,2012,101,70
Georgia,2012,39,30
Gulf of Mexico,2012,2,3
Hawaii,2012,10,4
Idaho,2012,40,21
Illinois,2012,30,19
Indiana,2012,26,24
Iowa,2012,21,14
Kansas,2012,22,18
Kentucky,2012,14,10
Louisiana,2012,23,15
Maine,2012,11,9
Maryland,2012,10,6
Massachusetts,2012,10,7
Michigan,2012,38,37
Minnesota,2012,28,24
Mississippi,2012,19,19
Missouri,2012,33,24
Montana,2012,17,13
Nebraska,2012,21,18
Nevada,2012,24,15
New Hampshire,2012,4,4
New Jersey,2012,17,10
New Mexico,2012,19,14
New York,2012,37,26
North Carolina,2012,28,21
North Dakota,2012,13,3
Ohio,2012,30,13
Oklahoma,2012,18,9
Oregon,2012,35,25
Other Foreign,2012,0,0
Pacific Ocean,2012,0,0
Pennsylvania,2012,39,26
Puerto Rico,2012,5,4
Rhode Island,2012,2,1
South Carolina,2012,21,8
South Dakota,2012,15,7
Tennessee,2012,29,26
Texas,2012,126,92
Utah,2012,26,36
Vermont,2012,6,1
Virginia,2012,24,13
Washington,2012,54,29
West Virginia,2012,7,4
Wisconsin,2012,35,23
Wyoming,2012,18,15
Alabama,2013,10,12
Alaska,2013,94,86
Arizona,2013,54,37
Arkansas,2013,21,13
Atlantic Ocean,2013,0,0
California,2013,128,301
Caribbean Sea,2013,0,0
Colorado,2013,48,48
Connecticut,2013,7,7
Delaware,2013,2,1
District of Columbia,2013,0,0
Florida,2013,91,78
Georgia,2013,30,24
Gulf of Mexico,2013,0,0
Hawaii,2013,10,17
Idaho,2013,32,24
Illinois,2013,29,13
Indiana,2013,22,17
Iowa,2013,15,8
Kansas,2013,24,9
Kentucky,2013,11,14
Louisiana,2013,19,18
Maine,2013,8,5
Maryland,2013,15,9
Massachusetts,2013,10,5
Michigan,2013,29,20
Minnesota,2013,33,17
Mississippi,2013,13,13
Missouri,2013,21,15
Montana,2013,29,22
Nebraska,2013,11,7
Nevada,2013,28,23
New Hampshire,2013,6,2
New Jersey,2013,13,9
New Mexico,2013,23,25
New York,2013,28,29
North Carolina,2013,30,17
North Dakota,2013,4,6
Ohio,2013,22,10
Oklahoma,2013,23,24
Oregon,2013,31,18
Other Foreign,2013,0,0
Pacific Ocean,2013,0,0
Pennsylvania,2013,27,34
Puerto Rico,2013,4,4
Rhode Island,2013,0,0
South Carolina,2013,13,17
South Dakota,2013,8,4
Tennessee,2013,17,14
Texas,2013,102,78
Utah,2013,20,9
Vermont,2013,3,4
Virginia,2013,17,16
Washington,2013,37,20
West Virginia,2013,5,7
Wisconsin,2013,18,12
Wyoming,2013,15,9
Alabama,2014,24,28
Alaska,2014,78,24
Arizona,2014,63,51
Arkansas,2014,17,11
Atlantic Ocean,2014,0,0
California,2014,117,79
Caribbean Sea,2014,0,0
Colorado,2014,49,58
Connecticut,2014,5,3
Delaware,2014,2,2
District of Columbia,2014,0,0
Florida,2014,101,72
Georgia,2014,34,47
Gulf of Mexico,2014,0,0
Hawaii,2014,10,8
Idaho,2014,30,26
Illinois,2014,31,20
Indiana,2014,16,12
Iowa,2014,9,7
Kansas,2014,15,17
Kentucky,2014,5,5
Louisiana,2014,19,19
Maine,2014,8,6
Maryland,2014,13,14
Massachusetts,2014,12,10
Michigan,2014,31,26
Minnesota,2014,24,16
Mississippi,2014,12,13
Missouri,2014,19,24
Montana,2014,21,20
Nebraska,2014,11,4
Nevada,2014,22,18
New Hampshire,2014,6,4
New Jersey,2014,20,12
New Mexico,2014,28,34
New York,2014,28,22
North Carolina,2014,29,21
North Dakota,2014,6,1
Ohio,2014,29,23
Oklahoma,2014,11,11
Oregon,2014,18,13
Other Foreign,2014,0,0
Pacific Ocean,2014,1,1
Pennsylvania,2014,24,14
Puerto Rico,2014,4,3
Rhode Island,2014,1,0
South Carolina,2014,13,17
South Dakota,2014,7,6
Tennessee,2014,24,20
Texas,2014,120,102
Utah,2014,25,22
Vermont,2014,5,0
Virginia,2014,25,23
Washington,2014,47,22
West Virginia,2014,6,7
Wisconsin,2014,22,21
Wyoming,2014,11,19
Alabama,2015,23,9
Alaska,2015,77,52
Arizona,2015,41,22
Arkansas,2015,21,17
Atlantic Ocean,2015,1,1
California,2015,118,91
Caribbean Sea,2015,0,0
Colorado,2015,39,39
Connecticut,2015,9,6
Delaware,2015,1,0
District of Columbia,2015,0,0
Florida,2015,99,107
Georgia,2015,33,35
Gulf of Mexico,2015,0,0
Hawaii,2015,6,11
Idaho,2015,27,20
Illinois,2015,30,20
Indiana,2015,19,9
Iowa,2015,13,6
Kansas,2015,24,16
Kentucky,2015,13,14
Louisiana,2015,20,11
Maine,2015,4,2
Maryland,2015,20,4
Massachusetts,2015,10,7
Michigan,2015,26,13
Minnesota,2015,15,11
Mississippi,2015,10,15
Missouri,2015,31,25
Montana,2015,20,13
Nebraska,2015,11,13
Nevada,2015,21,36
New Hampshire,2015,6,4
New Jersey,2015,14,8
New Mexico,2015,25,22
New York,2015,34,25
North Carolina,2015,44,33
North Dakota,2015,6,1
Ohio,2015,17,14
Oklahoma,2015,17,15
Oregon,2015,29,19
Other Foreign,2015,0,0
Pacific Ocean,2015,3,6
Pennsylvania,2015,35,28
Puerto Rico,2015,8,5
Rhode Island,2015,2,0
South Carolina,2015,12,15
South Dakota,2015,9,9
Tennessee,2015,24,16
Texas,2015,110,107
Utah,2015,25,12
Vermont,2015,2,0
Virginia,2015,21,19
Washington,2015,36,33
West Virginia,2015,3,2
Wisconsin,2015,30,33
Wyoming,2015,14,20
Alabama,2016,12,17
Alaska,2016,97,69
Arizona,2016,41,28
Arkansas,2016,22,19
Atlantic Ocean,2016,0,0
California,2016,119,94
Caribbean Sea,2016,0,0
Colorado,2016,31,21
Connecticut,2016,8,5
Delaware,2016,2,1
District of Columbia,2016,0,0
Florida,2016,96,60
Georgia,2016,42,33
Gulf of Mexico,2016,0,0
Hawaii,2016,14,27
Idaho,2016,22,7
Illinois,2016,32,41
Indiana,2016,23,18
Iowa,2016,13,10
Kansas,2016,20,9
Kentucky,2016,11,8
Louisiana,2016,21,11
Maine,2016,7,1
Maryland,2016,10,4
Massachusetts,2016,12,8
Michigan,2016,24,21
Minnesota,2016,26,19
Mississippi,2016,7,5
Missouri,2016,29,18
Montana,2016,18,9
Nebraska,2016,10,7
Nevada,2016,31,23
New Hampshire,2016,13,5
New Jersey,2016,21,12
New Mexico,2016,18,14
New York,2016,33,28
North Carolina,2016,25,18
North Dakota,2016,9,5
Ohio,2016,34,26
Oklahoma,2016,21,28
Oregon,2016,23,13
Other Foreign,2016,0,0
Pacific Ocean,2016,0,0
Pennsylvania,2016,32,22
Puerto Rico,2016,3,0
Rhode Island,2016,6,1
South Carolina,2016,15,8
South Dakota,2016,8,34
Tennessee,2016,25,23
Texas,2016,126,109
Utah,2016,18,8
Vermont,2016,4,2
Virginia,2016,30,27
Washington,2016,32,18
West Virginia,2016,8,6
Wisconsin,2016,28,18
Wyoming,2016,10,11
Alabama,2017,19,13
Alaska,2017,75,32
Arizona,2017,49,33
Arkansas,2017,16,12
Atlantic Ocean,2017,0,0
California,2017,162,136
Caribbean Sea,2017,0,0
Colorado,2017,34,18
Connecticut,2017,13,18
Delaware,2017,4,4
District of Columbia,2017,1,0
Florida,2017,97,67
Georgia,2017,35,24
Gulf of Mexico,2017,0,0
Hawaii,2017,8,14
Idaho,2017,31,13
Illinois,2017,27,12
Indiana,2017,22,15
Iowa,2017,16,10
Kansas,2017,18,10
Kentucky,2017,11,10
Louisiana,2017,17,11
Maine,2017,8,4
Maryland,2017,14,5
Massachusetts,2017,10,5
Michigan,2017,22,16
Minnesota,2017,20,23
Mississippi,2017,11,10
Missouri,2017,28,23
Montana,2017,12,9
Nebraska,2017,9,3
Nevada,2017,31,15
New Hampshire,2017,5,1
New Jersey,2017,21,16
New Mexico,2017,24,17
New York,2017,28,31
North Carolina,2017,34,20
North Dakota,2017,3,4
Ohio,2017,33,18
Oklahoma,2017,20,14
Oregon,2017,27,15
Other Foreign,2017,0,0
Pacific Ocean,2017,2,3
Pennsylvania,2017,33,21
Puerto Rico,2017,5,6
Rhode Island,2017,2,2
South Carolina,2017,12,9
South Dakota,2017,7,5
Tennessee,2017,20,29
Texas,2017,91,62
Utah,2017,27,21
Vermont,2017,4,1
Virginia,2017,27,20
Washington,2017,39,23
West Virginia,2017,6,4
Wisconsin,2017,25,25
Wyoming,2017,11,5
Alabama,2018,20,17
Alaska,2018,93,61
Arizona,2018,60,42
Arkansas,2018,20,12
Atlantic Ocean,2018,2,7
California,2018,119,88
Caribbean Sea,2018,0,0
Colorado,2018,33,25
Connecticut,2018,8,4
Delaware,2018,1,0
District of Columbia,2018,0,0
Florida,2018,120,98
Georgia,2018,35,32
Gulf of Mexico,2018,1,1
Hawaii,2018,12,8
Idaho,2018,28,12
Illinois,2018,27,25
Indiana,2018,19,20
Iowa,2018,12,8
Kansas,2018,17,9
Kentucky,2018,5,2
Louisiana,2018,18,8
Maine,2018,4,5
Maryland,2018,12,9
Massachusetts,2018,9,5
Michigan,2018,28,29
Minnesota,2018,14,10
Mississippi,2018,6,3
Missouri,2018,22,16
Montana,2018,14,7
Nebraska,2018,12,11
Nevada,2018,27,19
New Hampshire,2018,4,2
New Jersey,2018,14,11
New Mexico,2018,27,25
New York,2018,37,35
North Carolina,2018,24,11
North Dakota,2018,10,17
Ohio,2018,33,22
Oklahoma,2018,15,14
Oregon,2018,31,10
Other Foreign,2018,1,1
Pacific Ocean,2018,0,0
Pennsylvania,2018,28,150
Puerto Rico,2018,6,14
Rhode Island,2018,0,0
South Carolina,2018,21,11
South Dakota,2018,9,7
Tennessee,2018,13,12
Texas,2018,119,110
Utah,2018,26,19
Vermont,2018,11,6
Virginia,2018,31,14
Washington,2018,47,30
West Virginia,2018,3,0
Wisconsin,2018,26,21
Wyoming,2018,13,8
Alabama,2019,15,10
Alaska,2019,88,69
Arizona,2019,47,22
Arkansas,2019,14,12
Atlantic Ocean,2019,4,5
California,2019,114,89
Caribbean Sea,2019,0,0
Colorado,2019,35,15
Connecticut,2019,8,18
Delaware,2019,1,2
District of Columbia,2019,0,0
Florida,2019,113,75
Georgia,2019,39,22
Gulf of Mexico,2019,2,3
Hawaii,2019,10,26
Idaho,2019,33,11
Illinois,2019,22,13
Indiana,2019,22,16
Iowa,2019,9,5
Kansas,2019,19,8
Kentucky,2019,13,10
Louisiana,2019,21,27
Maine,2019,11,7
Maryland,2019,17,13
Massachusetts,2019,9,7
Michigan,2019,23,30
Minnesota,2019,16,8
Mississippi,2019,13,18
Missouri,2019,20,8
Montana,2019,15,17
Nebraska,2019,13,10
Nevada,2019,29,36
New Hampshire,2019,4,1
New Jersey,2019,14,5
New Mexico,2019,20,18
New York,2019,19,26
North Carolina,2019,29,37
North Dakota,2019,5,2
Ohio,2019,27,24
Oklahoma,2019,15,6
Oregon,2019,42,40
Other Foreign,2019,0,0
Pacific Ocean,2019,1,1
Pennsylvania,2019,30,22
Puerto Rico,2019,3,4
Rhode Island,2019,1,0
South Carolina,2019,18,6
South Dakota,2019,11,19
Tennessee,2019,24,15
Texas,2019,116,107
Utah,2019,29,22
Vermont,2019,1,0
Virginia,2019,24,7
Washington,2019,37,30
West Virginia,2019,4,8
Wisconsin,2019,19,16
Wyoming,2019,11,3
Alabama,2020,17,15
Alaska,2020,79,36
Arizona,2020,36,18
Arkansas,2020,16,14
Atlantic Ocean,2020,0,0
California,2020,105,96
Caribbean Sea,2020,0,0
Colorado,2020,44,25
Connecticut,2020,5,4
Delaware,2020,4,3
District of Columbia,2020,0,0
Florida,2020,92,65
Georgia,2020,36,34
Gulf of Mexico,2020,0,0
Hawaii,2020,6,6
Idaho,2020,24,21
Illinois,2020,27,25
Indiana,2020,17,16
Iowa,2020,12,11
Kansas,2020,11,6
Kentucky,2020,7,4
